nta_code,nta_name,population,source,source_url
BX0401,Concourse-Concourse Village,69393,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0402,Highbridge,32475,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0403,Mount Eden-Claremont (West),49661,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0501,University Heights (South)-Morris Heights,54682,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0502,Mount Hope,49099,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0503,Fordham Heights,32099,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0601,West Farms,20158,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0602,Tremont,32184,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0603,Belmont,35830,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0701,University Heights (North)-Fordham,46538,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0702,Bedford Park,55521,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0703,Norwood,43468,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0801,Kingsbridge Heights-Van Cortlandt Village,35777,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0802,Kingsbridge-Marble Hill,22807,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0803,Riverdale-Spuyten Duyvil,50877,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0901,Soundview-Bruckner-Bronx River,74342,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0902,Soundview-Clason Point,37303,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0903,Castle Hill-Unionport,41420,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0904,Parkchester,33602,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1001,Westchester Square,17653,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1002,Throgs Neck-Schuylerville,48127,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1003,Pelham Bay-Country Club-City Island,29482,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1004,Co-op City,37369,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1101,Pelham Parkway-Van Nest,32425,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1102,Morris Park,25086,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1103,Pelham Gardens,29402,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1104,Allerton,34626,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1201,Williamsbridge-Olinville,61396,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1202,Eastchester-Edenwald-Baychester,52927,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1203,Wakefield-Woodlawn,50295,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0101,Financial District-Battery Park City,52995,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0102,Tribeca-Civic Center,25390,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0201,SoHo-Little Italy-Hudson Square,23287,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0202,Greenwich Village,34147,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0203,West Village,35011,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0301,Chinatown-Two Bridges,42556,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0302,Lower East Side,49149,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0303,East Village,71436,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0401,Chelsea-Hudson Yards,69741,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0402,Hell’s Kitchen,59524,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0501,Midtown South-Flatiron-Union Square,33214,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0502,Midtown-Times Square,25575,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
